Timestamp,Score,Name of Facility,County,Role of respondent,How was this assessment administered?,1. Which of the following devices is a tablet?,2. Which of the following is an example of an email address? ,3. Which of the following devices is a computer?,4. Which of the following shows the button used to turn on the computer?,5. You can send a file or photo as an attachment in an email.,6. Which of the following is the BEST practice when entering data into a health form?,7. Why is it important to enter patient data accurately into a digital health system?,8. You receive an email asking you to click a link and enter your password urgently. What should you do?,9. Turning a device off and on again (restarting) can fix many common software problems.,10. What is a web browser?,Thanks for completing this assessment. Do you have a comment / feedback to share? Please do.
5/13/2026 13:36:17,60 / 100,Konobo Health Center,Grand Gedeh,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/13/2026 13:43:45,90 / 100,Konobo Health Center,Grand Gedeh,Officer-In-Charge / Doctor / Medical Officer / Clinical Officer,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/13/2026 14:17:01,80 / 100,J N Davies Hospital,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A device connected to Wi-Fi,No. I don't have a comment or feedback 
5/13/2026 14:24:19,80 / 100,J N Davies Hospital,Montserrado,Director of Nursing ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,No Comment 
5/13/2026 14:54:29,60 / 100,J N Davies Hospital,Montserrado,Record Officer / Data Clerk / Registrar,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To reduce the number of staff needed at the facility,Click the link and enter your password immediately,FALSE,A tool used to access and view websites on the internet,I'm not computer literate and I want to be a computer literate 
5/14/2026 9:19:46,80 / 100,New Georgia Community Health Center,Montserrado,Nurse Aide,Enumerator-read (verbal),A,healthworker@moh.gov.lr,A,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,TRUE,A tool used to access and view websites on the internet,
5/14/2026 9:20:00,80 / 100,New Georgia Community Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/14/2026 9:29:23,50 / 100,New Georgia Community Health Center,Montserrado,Nurse Aid,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,A,FALSE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/14/2026 9:38:33,60 / 100,New Georgia Community Health Center,Montserrado,Nurse Aide,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A device connected to Wi-Fi,
5/14/2026 9:39:02,60 / 100,New Georgia Community Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,D,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A tool used to access and view websites on the internet,
5/15/2026 10:01:27,70 / 100,Pipeline Health Center,Montserrado,Maternal Child Health ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,Workshop should be conducted to train staff how to use computers 
5/15/2026 10:12:35,70 / 100,Pipeline Health Center,Montserrado,RN and Supervisor for triage department ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A type of internet connection,I don't have idea on all the questions 
5/15/2026 10:26:25,80 / 100,Pipeline Health Center,Montserrado,Nurse and TB focus person ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,For me I see the exercise important but I suggest that proper training done
5/15/2026 10:35:32,90 / 100,Barnersville HC,Montserrado,"Administrative / Management (HR, Logistics, Finance, etc.)",Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/15/2026 10:40:40,80 / 100,Barnersville HC,Montserrado,"Administrative / Management (HR, Logistics, Finance, etc.)",Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/15/2026 10:44:26,90 / 100,Barnersville HC,Montserrado,Lab Student,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/15/2026 10:59:12,60 / 100,Barnersville HC,Montserrado,Record Officer / Data Clerk / Registrar,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,FALSE,A type of internet connection,The assessment is encouraging. 
5/15/2026 11:06:23,70 / 100,Barnersville HC,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,A,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,TRUE,A programme that stores your files and documents,
5/15/2026 12:04:02,50 / 100,Gbarzon Health Center,Grand Gedeh,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,D,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A type of internet connection,
5/15/2026 12:13:25,50 / 100,Garzon Health Center,Grand Gedeh,Nurse / Midwife,Self-administered (staff reads independently),B,healthworker@moh.gov.lr,B,D,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To avoid paying for paper registers,Reply with your password so they can verify,TRUE,A device connected to Wi-Fi,
5/15/2026 12:21:06,70 / 100,Gbarzon Health Center,Grand Gedeh,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,D,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/15/2026 12:24:22,80 / 100,Garzon Health Center,Grand Gedeh,Physician Assistant,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/15/2026 14:13:30,70 / 100,Chocolate City HC,Montserrado,Record Officer / Data Clerk / Registrar,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A tool used to access and view websites on the internet,
5/15/2026 14:15:50,80 / 100,Chocolate City HC,Montserrado,Vaccinator ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,TRUE,A programme that stores your files and documents,
5/15/2026 14:17:14,70 / 100,Duport Road Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A programme that stores your files and documents,We want the digital health system to come here and there should also be proper training for staff 
5/15/2026 14:19:48,80 / 100,Chocolate City HC,Montserrado,Nurse Aide,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Forward it to all your colleagues,TRUE,A device connected to Wi-Fi,
5/15/2026 14:23:47,60 / 100,Duport Road Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,I don't have any comment 
5/15/2026 14:28:57,80 / 100,Chocolate City HC,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/15/2026 14:30:47,60 / 100,Duport Road Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To avoid paying for paper registers,Ignore it and delete it - it is likely a phishing attempt,FALSE,A tool used to access and view websites on the internet,No Comment or feedback to share 
5/15/2026 14:38:11,60 / 100,Chocolate City HC,Montserrado,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/15/2026 16:55:33,80 / 100,Dr. Agnes Varis Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A tool used to access and view websites on the internet,Yes. These questions are meant to ask if we have knowledge on computer. 
5/15/2026 17:05:01,30 / 100,Dr. Agnes Varis Health Center,Montserrado,Nurse / Midwife,Enumerator-read (verbal),B,www.healthliberia.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,FALSE,A device connected to Wi-Fi,I don't have any knowledge on computer and we encourage you people to come and train us
5/16/2026 11:03:49,90 / 100,Vahun Health Center,Lofa,Officer-In-Charge / Doctor / Medical Officer / Clinical Officer,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,
5/16/2026 11:58:41,80 / 100,Vahun Health Center,Lofa,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/16/2026 12:00:08,90 / 100,Vahun Health Center,Lofa,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/16/2026 12:06:00,80 / 100,Vahun Health Center,Lofa,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/17/2026 13:28:29,80 / 100,Vahun Health Center,Lofa,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,
5/17/2026 13:40:46,20 / 100,Foya  Health Center,Lofa,Store Manager ,Self-administered (staff reads independently),B,healthworker@moh.gov.lr,B,A,FALSE,Let another staff member enter the data on your behalf,To make the system run faster,Forward it to all your colleagues,FALSE,A type of internet connection,
5/17/2026 13:45:26,70 / 100,Foya  Health Center,Lofa,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/17/2026 13:46:47,70 / 100,Foya  Health Center,Lofa,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Ignore it and delete it - it is likely a phishing attempt,TRUE,A programme that stores your files and documents,
5/17/2026 13:48:26,80 / 100,Foya  Health Center,Lofa,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,C,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/17/2026 13:50:35,80 / 100,Foya  Health Center,Lofa,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,FALSE,A tool used to access and view websites on the internet,
5/18/2026 9:43:10,90 / 100,Cotton Tree Health Center,Margibi,Officer-In-Charge / Doctor / Medical Officer / Clinical Officer,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,Knowledge gap on digital tools 
5/18/2026 9:52:33,60 / 100,Cotton Tree Health Center,Margibi,Nursing Directress ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A type of internet connection,I don't understand the exercise 
5/18/2026 9:59:04,80 / 100,Cotton Tree Health Center,Margibi,"Screener, store room keeper, TB focal person ",Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,TRUE,A tool used to access and view websites on the internet,No feedback 
5/18/2026 10:22:20,70 / 100,Konia Health Center,Lofa,Officer-In-Charge / Doctor / Medical Officer / Clinical Officer,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,A,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/18/2026 10:39:23,80 / 100,Konia Health Center,Lofa,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Forward it to all your colleagues,TRUE,A type of internet connection,Let the people help us with more training and help with electric devices 
5/18/2026 11:05:10,60 / 100,Konia Health Center,Lofa,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To make the system run faster,Reply with your password so they can verify,TRUE,A device connected to Wi-Fi,
5/18/2026 11:23:36,60 / 100,Konia Health Center,Lofa,Lab / Pharmacy Staff,Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A tool used to access and view websites on the internet,
5/18/2026 11:46:18,80 / 100,Konia Health Center,Lofa,"Administrative / Management (HR, Logistics, Finance, etc.)",Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/18/2026 12:04:49,90 / 100,Konia Health Center,Lofa,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/18/2026 12:17:23,90 / 100,Dolo's Town Health Center,Margibi,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,This exercise was good 
5/18/2026 12:31:37,70 / 100,Dolo's Town Health Center,Margibi,Maternal Child Health ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A device connected to Wi-Fi,I appreciate the effort you people made to come and do the health digital assessment. And I want you people to come back.
5/18/2026 12:38:03,40 / 100,Dolo's Town Health Center,Margibi,Lab / Pharmacy Staff,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,D,FALSE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,FALSE,A device connected to Wi-Fi,I don't have any comment or feedback 
5/18/2026 13:59:49,70 / 100,Boegeezay Health Center,River Cess,Vaccinator ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/18/2026 14:02:37,50 / 100,Boegeezay Health Center,River Cess,Lab / Pharmacy Staff,Enumerator-read (verbal),A,Health Worker / MOH / Liberia,B,A,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To reduce the number of staff needed at the facility,Ignore it and delete it - it is likely a phishing attempt,TRUE,A programme that stores your files and documents,
5/18/2026 14:08:06,80 / 100,Boegeezay Health Center,River Cess,Community Health Worker,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A type of internet connection,
5/18/2026 14:10:38,100 / 100,Boegeezay Health Center,River Cess,Record Officer / Data Clerk / Registrar,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,
5/18/2026 14:38:23,50 / 100,Unification Town Health Center,Margibi,Vaccinator ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To reduce the number of staff needed at the facility,Reply with your password so they can verify,TRUE,A type of internet connection,Thank you for coming 
5/18/2026 14:59:44,40 / 100,Unification Town Health Center,Margibi,HIV Focal Person ,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,A,TRUE,Enter data at end of the week when you have more time,To make the system run faster,Reply with your password so they can verify,FALSE,A programme that stores your files and documents,I don't have any comment or feedback 
5/18/2026 15:13:17,70 / 100,Boegeezay Health Center,River Cess,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A type of internet connection,
5/19/2026 11:53:41,60 / 100,Garzon Health Center,Margibi,BSN/Screener ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A programme that stores your files and documents,It was good going through this short education 
5/19/2026 12:04:22,40 / 100,Garzon Health Center,Margibi,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,A,FALSE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,FALSE,A programme that stores your files and documents,I don't have the digital tools here 
5/19/2026 12:18:56,60 / 100,Garzon Health Center,Margibi,Record Officer / Data Clerk / Registrar,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,I don't think I have any comment or feedback to make 
5/19/2026 13:38:44,70 / 100,Soniwen Health Center,Montserrado,Environmental Health Technician,Self-administered (staff reads independently),B,healthworker@moh.gov.lr,B,C,TRUE,Wait until the system is connected to the internet before entering any data,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/19/2026 13:44:38,50 / 100,Soniwen Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,A,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/19/2026 13:55:57,60 / 100,Soniwen Health Center,Montserrado,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/19/2026 13:59:52,60 / 100,Soniwen Health Center,Montserrado,Maintenance/Housing Officer,Enumerator-read (verbal),D,healthworker@moh.gov.lr,B,A,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A programme that stores your files and documents,
5/19/2026 14:08:51,90 / 100,Soniwen Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,
5/19/2026 15:13:37,90 / 100,Marshall Health Center,Margibi,Mental Health Clinician/Screener ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,The exercise is good and the Internet system will be very fine. And it will also make our work easier. 
5/19/2026 15:21:56,50 / 100,Marshall Health Center,Margibi,Social Worker/Nurse Aide ,Enumerator-read (verbal),A,www.healthliberia.gov.lr,B,A,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Reply with your password so they can verify,FALSE,A device connected to Wi-Fi,The questions are important but we want to be trained on how to use digital devices. 
5/19/2026 15:33:47,80 / 100,Marshall Health Center,Margibi,Nurse / Midwife,Enumerator-read (verbal),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Ignore it and delete it - it is likely a phishing attempt,TRUE,A type of internet connection,I don't have comment or feedback to share 
5/20/2026 9:07:26,60 / 100,RH Ferguson Health Center,Montserrado,Nurse Aide,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,Enter data at end of the week when you have more time,To make the system run faster,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/20/2026 9:14:28,50 / 100,RH Ferguson Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,health-worker-moh-2026,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Forward it to all your colleagues,FALSE,A programme that stores your files and documents,
5/20/2026 9:21:20,80 / 100,RH Ferguson Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,www.healthliberia.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Forward it to all your colleagues,TRUE,A tool used to access and view websites on the internet,
5/20/2026 9:21:34,70 / 100,RH Ferguson Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,FALSE,"Enter data as soon as possible after the patient visit, while information is fresh",To make the system run faster,Forward it to all your colleagues,TRUE,A tool used to access and view websites on the internet,
5/20/2026 9:30:47,70 / 100,RH Ferguson Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,D,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A programme that stores your files and documents,
5/20/2026 12:11:38,40 / 100,Clara Town Health Center,Montserrado,Lab / Pharmacy Staff,Self-administered (staff reads independently),C,healthworker@moh.gov.lr,B,A,TRUE,Enter data at end of the week when you have more time,To make the system run faster,Click the link and enter your password immediately,TRUE,A type of internet connection,
5/20/2026 12:12:49,100 / 100,Clara Town Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Ignore it and delete it - it is likely a phishing attempt,TRUE,A tool used to access and view websites on the internet,
5/20/2026 12:19:16,90 / 100,Clara Town Health Center,Montserrado,Nurse / Midwife,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A tool used to access and view websites on the internet,I need training 
5/20/2026 12:21:55,80 / 100,Clara Town Health Center,Montserrado,Lab / Pharmacy Staff,Self-administered (staff reads independently),A,healthworker@moh.gov.lr,B,C,TRUE,"Enter data as soon as possible after the patient visit, while information is fresh",To ensure correct treatment decisions and reliable health reports,Click the link and enter your password immediately,TRUE,A device connected to Wi-Fi,
06/16/2026 09:40:29,70 / 100,Damballa Health Center,Grand Cape Mount,Record Officer / Data Clerk / Registrar,Self-administered (staff reads independently),,,,,,,,,,,
